CLAS physics database search results
Measurement E32M1
g10 CLAS experiment
Wei Chen
0

Egamma	theta	dsigma/dOmega	Data errors	Systematic errors
MeV	deg	mcb/srad	mcb/srad	mcb/srad
2000	77.5	0.23033	0.02728	0.00196
2000	82.5	0.20991	0.02487	0.00193
2000	87.5	0.20618	0.02444	0.00192
2000	92.5	0.20284	0.024	0.00166
2000	97.5	0.20259	0.02401	0.0018
2000	102.5	0.1887	0.02234	0.00153
2000	107.5	0.16646	0.01971	0.0014
2000	112.5	0.1521	0.01801	0.00129
2000	117.5	0.12329	0.01459	0.00113
2000	122.5	0.09597	0.01139	0.00105
2000	127.5	0.10321	0.01225	0.00122
2000	132.5	0.10903	0.01294	0.00136
2000	137.5	0.11672	0.01389	0.0019
2000	142.5	0.0853	0.01052	0.00291
2000	147.5	0.09179	0.01097	0.00171
2000	152.5	0.13531	0.01619	0.0026
2000	157.5	0.18965	0.02357	0.00733
2100	37.5	0.43591	0.05353	0.00995
2100	42.5	0.2755	0.03314	0.00366
2100	47.5	0.19262	0.02304	0.00203
2100	52.5	0.15702	0.01877	0.00156
2100	57.5	0.16016	0.01913	0.00152
2100	62.5	0.17131	0.02047	0.00165
2100	67.5	0.17966	0.02145	0.0017
2100	72.5	0.17959	0.02145	0.00168
2100	77.5	0.16918	0.0202	0.00162
2100	82.5	0.15868	0.01896	0.00164
2100	87.5	0.16251	0.01943	0.00164
2100	92.5	0.16865	0.02012	0.00147
2100	97.5	0.16881	0.02017	0.00159
2100	102.5	0.16206	0.01934	0.00141
2100	107.5	0.15319	0.01829	0.00139
2100	112.5	0.13466	0.01608	0.00125
2100	117.5	0.1146	0.01368	0.00111
2100	122.5	0.08645	0.01034	0.00101
2100	127.5	0.09961	0.01192	0.00122
2100	132.5	0.10558	0.01264	0.00138
2100	137.5	0.11151	0.01337	0.0018
2100	142.5	0.07419	0.00928	0.00281
2100	147.5	0.07337	0.00887	0.00157
2100	152.5	0.10471	0.01267	0.00228
2100	157.5	0.13981	0.01764	0.00584
2200	37.5	0.40319	0.05002	0.00954
2200	42.5	0.2391	0.02901	0.00332
2200	47.5	0.15657	0.01889	0.00175
2200	52.5	0.11807	0.01423	0.00128
2200	57.5	0.1171	0.0141	0.00122
2200	62.5	0.12346	0.01487	0.00131
2200	67.5	0.13292	0.01601	0.00137
2200	72.5	0.13168	0.01586	0.00134
2200	77.5	0.12548	0.01511	0.00132
2200	82.5	0.12396	0.01494	0.00139
2200	87.5	0.12454	0.01501	0.00132
2200	92.5	0.13883	0.0167	0.00126
2200	97.5	0.14422	0.01736	0.00141
2200	102.5	0.13468	0.01621	0.00123
2200	107.5	0.13279	0.01599	0.00126
2200	112.5	0.11796	0.0142	0.00113
2200	117.5	0.10663	0.01283	0.00107
2200	122.5	0.08362	0.01008	0.000984077
2200	127.5	0.09338	0.01126	0.00118
2200	132.5	0.10239	0.01236	0.00138
2200	137.5	0.10279	0.01243	0.00162
2200	142.5	0.0656	0.00822	0.0024
2200	147.5	0.05993	0.00734	0.00144
2200	152.5	0.08246	0.01008	0.00195
2200	157.5	0.11873	0.01509	0.00498
2300	37.5	0.36617	0.04607	0.00989
2300	42.5	0.20839	0.02554	0.00326
2300	47.5	0.13079	0.01593	0.00169
2300	52.5	0.09099	0.01106	0.00116
2300	57.5	0.08411	0.01022	0.00104
2300	62.5	0.08971	0.01091	0.00113
2300	67.5	0.09553	0.01162	0.00116
2300	72.5	0.09307	0.01131	0.00113
2300	77.5	0.09036	0.01099	0.00114
2300	82.5	0.09322	0.01135	0.00124
2300	87.5	0.09701	0.0118	0.00118
2300	92.5	0.10756	0.01306	0.00111
2300	97.5	0.12188	0.0148	0.00132
2300	102.5	0.11486	0.01395	0.00121
2300	107.5	0.11096	0.01348	0.00121
2300	112.5	0.10504	0.01276	0.00115
2300	117.5	0.09743	0.01184	0.0011
2300	122.5	0.07904	0.00961	0.00102
2300	127.5	0.08471	0.01032	0.00119
2300	132.5	0.09407	0.01146	0.00142
2300	137.5	0.08858	0.01081	0.00154
2300	142.5	0.05829	0.00737	0.00222
2300	147.5	0.0527	0.00655	0.00154
2300	152.5	0.0676	0.00839	0.00187
2300	157.5	0.09495	0.01232	0.00448
2400	37.5	0.33109	0.04221	0.00987
2400	42.5	0.18826	0.0233	0.00325
2400	47.5	0.11564	0.01421	0.00167
2400	52.5	0.0734	0.00901	0.00107
2400	57.5	0.06344	0.00779	0.000920728
2400	62.5	0.06368	0.00782	0.000966087
2400	67.5	0.06737	0.00827	0.000992408
2400	72.5	0.06648	0.00816	0.000962002
2400	77.5	0.06328	0.00778	0.000972629
2400	82.5	0.0686	0.00843	0.00107
2400	87.5	0.07478	0.00918	0.00104
2400	92.5	0.08528	0.01045	0.00101
2400	97.5	0.09875	0.01209	0.00118
2400	102.5	0.0982	0.01204	0.0012
2400	107.5	0.09475	0.01161	0.00114
2400	112.5	0.09552	0.01171	0.00117
2400	117.5	0.09263	0.01136	0.00116
2400	122.5	0.0744	0.00913	0.00105
2400	127.5	0.07668	0.00943	0.0012
2400	132.5	0.08407	0.01034	0.00141
2400	137.5	0.07635	0.00941	0.00144
2400	142.5	0.05744	0.00731	0.00215
2400	147.5	0.0482	0.00611	0.00166
2400	152.5	0.06207	0.00782	0.00192
2400	157.5	0.08143	0.01075	0.0041
2500	37.5	0.33566	0.04315	0.01016
2500	42.5	0.18136	0.02264	0.0032
2500	47.5	0.10961	0.01358	0.0016
2500	52.5	0.06882	0.00852	0.00104
2500	57.5	0.05564	0.00689	0.000852304
2500	62.5	0.0506	0.00628	0.000839872
2500	67.5	0.05083	0.0063	0.000816144
2500	72.5	0.05022	0.00622	0.000805516
2500	77.5	0.04811	0.00597	0.000817909
2500	82.5	0.05154	0.00639	0.000868858
2500	87.5	0.05568	0.0069	0.000830605
2500	92.5	0.0666	0.00823	0.000861012
2500	97.5	0.07866	0.00971	0.000966348
2500	102.5	0.08648	0.0107	0.00114
2500	107.5	0.08138	0.01005	0.00102
2500	112.5	0.0805	0.00995	0.00104
2500	117.5	0.08407	0.0104	0.0011
2500	122.5	0.07296	0.00902	0.00104
2500	127.5	0.06743	0.00837	0.0011
2500	132.5	0.07436	0.00924	0.0013
2500	137.5	0.06957	0.00865	0.00132
2500	142.5	0.0564	0.00719	0.00198
2500	147.5	0.04418	0.00569	0.00169
2500	152.5	0.05776	0.00735	0.00186
2500	157.5	0.07262	0.00966	0.00368
2600	37.5	0.27478	0.03584	0.00946
2600	42.5	0.16884	0.02127	0.00326
2600	47.5	0.10698	0.01339	0.0017
2600	52.5	0.06809	0.00851	0.00111
2600	57.5	0.04859	0.00608	0.000817674
2600	62.5	0.04359	0.00546	0.000814923
2600	67.5	0.03882	0.00486	0.000727061
2600	72.5	0.03881	0.00486	0.000732618
2600	77.5	0.03602	0.00452	0.000733748
2600	82.5	0.03869	0.00485	0.000751416
2600	87.5	0.04196	0.00525	0.000730931
2600	92.5	0.05166	0.00645	0.000774354
2600	97.5	0.06476	0.00807	0.000894828
2600	102.5	0.07296	0.00912	0.00111
2600	107.5	0.06742	0.00841	0.000948182
2600	112.5	0.06955	0.00868	0.00102
2600	117.5	0.07615	0.00951	0.00112
2600	122.5	0.06955	0.00868	0.00107
2600	127.5	0.0637	0.00798	0.00115
2600	132.5	0.06782	0.00851	0.00129
